"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 07, 2019","1.1347","1.1282","1.1355","1.1259","13.13K","0.59%"
"Jun 06, 2019","1.1281","1.1235","1.1317","1.1205","17.65K","0.38%"
"Jun 05, 2019","1.1238","1.1264","1.1318","1.1231","12.55K","-0.29%"
"Jun 04, 2019","1.1271","1.1255","1.1289","1.1239","11.31K","0.00%"
"Jun 03, 2019","1.1271","1.1182","1.1276","1.1174","11.47K","0.75%"
"May 31, 2019","1.1187","1.1143","1.1194","1.1140","11.78K","0.33%"
"May 30, 2019","1.1150","1.1150","1.1158","1.1131","6.05K","-0.01%"
"May 29, 2019","1.1151","1.1182","1.1190","1.1142","9.56K","-0.30%"
"May 28, 2019","1.1184","1.1228","1.1236","1.1178","10.34K","-0.25%"
"May 27, 2019","1.1212","1.1226","1.1235","1.1207","-","-0.13%"
"May 26, 2019","1.1227","1.1225","1.1231","1.1225","-","0.01%"
"May 24, 2019","1.1226","1.1203","1.1233","1.1198","7.76K","0.20%"
"May 23, 2019","1.1204","1.1175","1.1208","1.1127","12.44K","0.18%"
"May 22, 2019","1.1184","1.1188","1.1204","1.1173","6.75K","0.01%"
"May 21, 2019","1.1183","1.1193","1.1214","1.1167","9.95K","-0.10%"
"May 20, 2019","1.1194","1.1181","1.1201","1.1175","5.69K","0.06%"
"May 17, 2019","1.1187","1.1203","1.1212","1.1181","7.35K","-0.10%"
"May 16, 2019","1.1198","1.1234","1.1252","1.1194","8.84K","-0.33%"
"May 15, 2019","1.1235","1.1240","1.1255","1.1208","12.40K","-0.04%"
"May 14, 2019","1.1239","1.1258","1.1276","1.1232","9.01K","-0.22%"
"May 13, 2019","1.1264","1.1268","1.1296","1.1254","9.56K","-0.01%"
"May 10, 2019","1.1265","1.1250","1.1288","1.1250","8.07K","0.05%"
"May 09, 2019","1.1259","1.1229","1.1286","1.1207","12.59K","0.27%"
"May 08, 2019","1.1229","1.1230","1.1253","1.1219","12.46K","0.08%"
"May 07, 2019","1.1220","1.1235","1.1257","1.1205","12.74K","-0.21%"
"May 06, 2019","1.1244","1.1237","1.1249","1.1216","10.76K","0.08%"
"May 03, 2019","1.1235","1.1214","1.1248","1.1176","15.18K","0.17%"
"May 02, 2019","1.1216","1.1242","1.1261","1.1212","12.41K","-0.22%"
"May 01, 2019","1.1241","1.1263","1.1311","1.1233","14.88K","-0.23%"
"Apr 30, 2019","1.1267","1.1230","1.1275","1.1220","16.02K","0.34%"
"Apr 29, 2019","1.1229","1.1194","1.1235","1.1190","10.21K","0.25%"
"Apr 26, 2019","1.1201","1.1182","1.1222","1.1155","18.21K","0.21%"
"Apr 25, 2019","1.1177","1.1204","1.1211","1.1165","16.06K","-0.14%"
"Apr 24, 2019","1.1193","1.1277","1.1277","1.1192","15.08K","-0.67%"
"Apr 23, 2019","1.1268","1.1310","1.1314","1.1244","14.10K","-0.40%"
"Apr 22, 2019","1.1313","1.1290","1.1316","1.1289","6.12K","0.26%"
"Apr 19, 2019","1.1284","1.1284","1.1284","1.1284","-","0.01%"
"Apr 18, 2019","1.1283","1.1351","1.1358","1.1279","16.13K","-0.63%"
"Apr 17, 2019","1.1354","1.1339","1.1379","1.1334","13.36K","0.06%"
"Apr 16, 2019","1.1347","1.1361","1.1374","1.1336","15.44K","-0.15%"
"Apr 15, 2019","1.1364","1.1364","1.1382","1.1358","10.29K","0.06%"
"Apr 12, 2019","1.1357","1.1318","1.1385","1.1317","15.37K","0.35%"
"Apr 11, 2019","1.1317","1.1343","1.1349","1.1312","10.73K","-0.17%"
"Apr 10, 2019","1.1336","1.1331","1.1358","1.1294","14.79K","0.03%"
"Apr 09, 2019","1.1333","1.1325","1.1351","1.1321","8.91K","0.04%"
"Apr 08, 2019","1.1329","1.1283","1.1341","1.1281","10.11K","0.39%"
"Apr 05, 2019","1.1285","1.1289","1.1319","1.1277","9.83K","-0.03%"
"Apr 04, 2019","1.1288","1.1300","1.1316","1.1273","9.44K","-0.19%"
"Apr 03, 2019","1.1310","1.1270","1.1325","1.1270","11.66K","0.35%"
"Apr 02, 2019","1.1270","1.1277","1.1288","1.1255","10.41K","-0.13%"
"Apr 01, 2019","1.1285","1.1298","1.1323","1.1275","10.63K","-0.04%"
"Mar 29, 2019","1.1289","1.1301","1.1320","1.1283","12.63K","-0.11%"
"Mar 28, 2019","1.1301","1.1327","1.1335","1.1288","13.22K","-0.37%"
"Mar 27, 2019","1.1343","1.1348","1.1364","1.1320","13.17K","-0.13%"
"Mar 26, 2019","1.1358","1.1392","1.1407","1.1344","9.13K","-0.30%"
"Mar 25, 2019","1.1392","1.1378","1.1412","1.1369","8.82K","0.15%"
"Mar 22, 2019","1.1375","1.1458","1.1472","1.1355","21.21K","-0.53%"
"Mar 21, 2019","1.1436","1.1506","1.1520","1.1425","14.90K","-0.83%"
"Mar 20, 2019","1.1532","1.1436","1.1534","1.1420","13.95K","0.81%"
"Mar 19, 2019","1.1439","1.1423","1.1449","1.1420","7.56K","0.85%"
"Mar 18, 2019","1.1343","1.1324","1.1359","1.1320","0.23K","0.19%"
"Mar 15, 2019","1.1322","1.1304","1.1346","1.1302","2.33K","0.18%"
"Mar 14, 2019","1.1302","1.1333","1.1340","1.1296","9.13K","-0.29%"
"Mar 13, 2019","1.1335","1.1295","1.1343","1.1282","9.25K","0.29%"
"Mar 12, 2019","1.1302","1.1254","1.1310","1.1252","11.95K","0.50%"
"Mar 11, 2019","1.1246","1.1243","1.1264","1.1228","8.05K","-0.04%"
"Mar 08, 2019","1.1250","1.1201","1.1254","1.1193","11.18K","0.53%"
