"Date","Price","Open","High","Low","Vol.","Change %"
"05/07/2003","1,135.85","1,142.88","1,152.68","1,131.37","","-1.47%"
"05/06/2003","1,152.78","1,134.56","1,161.00","1,134.47","","1.45%"
"05/05/2003","1,136.26","1,139.60","1,152.96","1,132.99","","-0.02%"
"05/02/2003","1,136.51","1,109.92","1,137.45","1,109.66","","2.09%"
"05/01/2003","1,113.21","1,104.38","1,119.67","1,094.42","","0.65%"
"04/30/2003","1,106.06","1,111.54","1,116.85","1,104.39","","-0.96%"
"04/29/2003","1,116.79","1,113.05","1,126.58","1,103.79","","0.87%"
"04/28/2003","1,107.13","1,086.58","1,110.50","1,084.77","","2.21%"
"04/25/2003","1,083.19","1,100.65","1,101.76","1,081.34","","-2.25%"
"04/24/2003","1,108.12","1,100.84","1,115.36","1,097.19","","-0.43%"
"04/23/2003","1,112.93","1,105.45","1,115.67","1,096.92","","0.95%"
"04/22/2003","1,102.44","1,073.88","1,103.81","1,072.13","","1.98%"
"04/21/2003","1,081.04","1,083.75","1,089.71","1,070.86","","-0.23%"
"04/17/2003","1,083.56","1,051.36","1,084.81","1,051.36","","2.72%"
"04/16/2003","1,054.89","1,070.64","1,078.23","1,051.52","","0.17%"
"04/15/2003","1,053.08","1,044.33","1,058.54","1,039.99","","0.46%"
"04/14/2003","1,048.31","1,028.00","1,050.51","1,025.80","","2.16%"
"04/11/2003","1,026.15","1,046.45","1,051.88","1,020.56","","-0.68%"
"04/10/2003","1,033.14","1,024.74","1,035.61","1,018.17","","0.94%"
"04/09/2003","1,023.52","1,048.92","1,055.89","1,023.48","","-2.18%"
"04/08/2003","1,046.30","1,051.75","1,056.03","1,041.47","","-0.66%"
"04/07/2003","1,053.28","1,089.93","1,091.74","1,053.22","","0.24%"
"04/04/2003","1,050.71","1,067.51","1,067.51","1,044.37","","-1.25%"
"04/03/2003","1,064.06","1,070.51","1,078.76","1,058.01","","0.06%"
"04/02/2003","1,063.46","1,047.39","1,066.90","1,047.39","","3.99%"
"04/01/2003","1,022.63","1,025.02","1,031.51","1,015.46","","0.39%"
"03/31/2003","1,018.66","1,028.43","1,032.91","1,014.96","","-2.68%"
"03/28/2003","1,046.72","1,052.25","1,061.83","1,044.38","","-1.43%"
"03/27/2003","1,061.93","1,055.70","1,070.67","1,049.50","","-0.41%"
"03/26/2003","1,066.30","1,065.78","1,074.98","1,060.05","","-0.03%"
"03/25/2003","1,066.57","1,051.71","1,075.43","1,047.06","","1.86%"
"03/24/2003","1,047.10","1,064.65","1,068.46","1,045.65","","-4.21%"
"03/21/2003","1,093.12","1,096.30","1,099.61","1,078.64","","1.19%"
"03/20/2003","1,080.24","1,064.32","1,089.21","1,052.92","","0.49%"
"03/19/2003","1,074.97","1,078.19","1,083.11","1,058.81","","-0.67%"
"03/18/2003","1,082.19","1,075.30","1,082.20","1,063.22","","0.48%"
"03/17/2003","1,077.01","1,021.97","1,077.14","1,018.76","","4.52%"
"03/14/2003","1,030.45","1,034.43","1,042.56","1,020.17","","0.06%"
"03/13/2003","1,029.79","990.36","1,029.84","981.58","","6.10%"
"03/12/2003","970.54","954.66","971.39","946.79","","1.22%"
"03/11/2003","958.82","966.74","973.86","956.94","","-0.57%"
"03/10/2003","964.29","977.95","982.87","962.48","","-2.28%"
"03/07/2003","986.82","967.93","992.11","964.25","","0.29%"
"03/06/2003","983.96","982.04","991.69","976.55","","-0.63%"
"03/05/2003","990.23","981.67","995.19","978.40","","0.74%"
"03/04/2003","982.98","991.60","994.35","982.06","","-0.82%"
"03/03/2003","991.07","1,015.87","1,023.47","988.40","","-1.85%"
"02/28/2003","1,009.74","998.26","1,013.34","994.79","","1.50%"
"02/27/2003","994.80","982.51","1,000.98","976.60","","2.08%"
"02/26/2003","974.51","992.91","1,001.99","973.93","","-2.48%"
"02/25/2003","999.28","981.52","1,001.72","969.56","","0.46%"
"02/24/2003","994.69","1,009.14","1,013.20","994.23","","-2.09%"
"02/21/2003","1,015.92","1,002.14","1,019.25","986.73","","1.44%"
"02/20/2003","1,001.47","1,010.50","1,015.22","999.58","","-0.44%"
"02/19/2003","1,005.88","1,011.69","1,014.64","994.25","","-0.89%"
"02/18/2003","1,014.91","990.21","1,015.34","989.82","","3.34%"
"02/14/2003","982.09","958.20","982.12","952.70","","3.17%"
"02/13/2003","951.90","959.56","959.73","938.52","","-0.51%"
"02/12/2003","956.77","967.89","978.06","956.57","","-1.53%"
"02/11/2003","971.61","975.52","989.32","962.44","","0.17%"
"02/10/2003","969.96","961.69","974.48","950.81","","1.35%"
"02/07/2003","957.05","980.50","983.36","951.67","","-1.39%"
"02/06/2003","970.55","966.05","979.18","960.81","","0.16%"
"02/05/2003","968.97","980.75","999.16","967.59","","-0.28%"
"02/04/2003","971.73","972.93","974.68","960.01","","-1.55%"
"02/03/2003","987.07","987.37","997.56","981.37","","0.41%"
"01/31/2003","983.05","971.60","996.04","968.34","","-0.25%"
"01/30/2003","985.51","1,018.48","1,022.21","985.16","","-3.05%"
"01/29/2003","1,016.56","994.60","1,022.98","980.92","","1.51%"
"01/28/2003","1,001.41","996.88","1,006.51","983.95","","1.52%"
"01/27/2003","986.41","985.08","1,006.26","982.02","","-0.98%"
"01/24/2003","996.18","1,027.70","1,027.70","992.85","","-3.53%"
"01/23/2003","1,032.67","1,024.47","1,039.16","1,011.12","","2.60%"
"01/22/2003","1,006.51","1,005.57","1,027.08","1,003.58","","-0.24%"
"01/21/2003","1,008.93","1,022.94","1,028.32","1,008.93","","-0.85%"
"01/17/2003","1,017.58","1,041.43","1,041.43","1,017.53","","-4.13%"
"01/16/2003","1,061.46","1,076.18","1,084.36","1,057.87","","-1.13%"
"01/15/2003","1,073.60","1,096.96","1,099.89","1,069.96","","-1.94%"
"01/14/2003","1,094.87","1,082.37","1,097.71","1,080.85","","1.10%"
"01/13/2003","1,083.00","1,101.24","1,104.32","1,075.96","","-0.40%"
"01/10/2003","1,087.36","1,059.86","1,096.45","1,056.31","","1.05%"
"01/09/2003","1,076.05","1,056.61","1,084.70","1,056.05","","3.22%"
"01/08/2003","1,042.52","1,063.48","1,065.69","1,040.38","","-2.74%"
"01/07/2003","1,071.85","1,063.18","1,082.52","1,057.16","","0.98%"
"01/06/2003","1,061.48","1,034.02","1,068.49","1,034.02","","2.89%"
"01/03/2003","1,031.63","1,024.47","1,033.37","1,018.16","","0.37%"
"01/02/2003","1,027.86","995.64","1,027.91","984.59","","4.42%"
"12/31/2002","984.36","987.81","994.22","977.59","","-0.56%"
"12/30/2002","989.89","999.39","1,003.31","980.74","","-0.80%"
"12/27/2002","997.85","1,012.34","1,018.16","996.10","","-1.83%"
"12/26/2002","1,016.46","1,026.44","1,041.49","1,013.30","","-0.67%"
"12/24/2002","1,023.29","1,026.57","1,034.19","1,023.06","","-0.87%"
"12/23/2002","1,032.30","1,012.46","1,035.49","1,010.84","","1.85%"
"12/20/2002","1,013.51","1,009.67","1,022.74","1,009.53","","0.74%"
"12/19/2002","1,006.05","1,012.51","1,035.52","999.80","","-0.76%"
"12/18/2002","1,013.72","1,029.82","1,029.91","1,007.92","","-2.53%"
"12/17/2002","1,040.02","1,038.96","1,052.59","1,033.19","","-0.23%"
"12/16/2002","1,042.44","1,011.89","1,042.84","1,008.52","","3.64%"
"12/13/2002","1,005.85","1,027.66","1,027.66","1,005.85","","-3.28%"
"12/12/2002","1,039.95","1,047.47","1,051.55","1,029.41","","0.35%"
"12/11/2002","1,036.34","1,023.91","1,047.74","1,019.40","","0.32%"
"12/10/2002","1,033.07","1,022.39","1,043.34","1,019.70","","1.80%"
"12/09/2002","1,014.84","1,054.87","1,055.36","1,014.80","","-4.80%"
"12/06/2002","1,065.97","1,038.72","1,074.01","1,035.55","","1.23%"
"12/05/2002","1,053.06","1,085.02","1,085.63","1,052.08","","-1.54%"
"12/04/2002","1,069.49","1,068.94","1,082.93","1,055.11","","-1.77%"
"12/03/2002","1,088.80","1,109.46","1,109.46","1,083.94","","-2.83%"
"12/02/2002","1,120.49","1,144.21","1,155.68","1,110.24","","0.39%"
"11/29/2002","1,116.10","1,133.13","1,134.60","1,115.85","","-0.85%"
"11/27/2002","1,125.67","1,107.97","1,132.80","1,105.39","","3.51%"
"11/26/2002","1,087.49","1,116.29","1,119.71","1,083.86","","-3.51%"
"11/25/2002","1,127.06","1,118.01","1,133.73","1,108.47","","0.99%"
"11/22/2002","1,116.01","1,102.64","1,122.51","1,099.70","","-0.19%"
"11/21/2002","1,118.14","1,082.92","1,119.17","1,081.40","","4.45%"
"11/20/2002","1,070.53","1,028.57","1,071.31","1,028.12","","4.34%"
"11/19/2002","1,025.96","1,037.26","1,046.07","1,019.07","","-1.84%"
"11/18/2002","1,045.19","1,073.89","1,075.51","1,044.79","","-1.52%"
"11/15/2002","1,061.28","1,044.30","1,062.86","1,036.30","","0.33%"
"11/14/2002","1,057.83","1,029.36","1,057.90","1,027.06","","4.53%"
"11/13/2002","1,011.94","994.40","1,022.41","986.65","","1.00%"
"11/12/2002","1,001.94","982.45","1,020.54","982.24","","3.03%"
"11/11/2002","972.48","1,004.41","1,004.41","972.34","","-3.57%"
"11/08/2002","1,008.44","1,026.04","1,039.27","1,004.04","","-1.69%"
"11/07/2002","1,025.79","1,043.73","1,048.50","1,019.22","","-3.76%"
"11/06/2002","1,065.86","1,057.59","1,065.86","1,032.25","","1.47%"
"11/05/2002","1,050.39","1,033.79","1,050.68","1,028.22","","0.32%"
"11/04/2002","1,046.99","1,049.49","1,070.51","1,039.10","","2.74%"
"11/01/2002","1,019.06","981.24","1,020.59","974.08","","2.98%"
"10/31/2002","989.54","990.39","1,006.26","981.24","","0.35%"
"10/30/2002","986.09","968.48","995.82","960.48","","2.63%"
"10/29/2002","960.82","975.66","982.62","941.17","","-1.90%"
"10/28/2002","979.46","1,007.72","1,007.72","973.28","","-1.62%"
"10/25/2002","995.55","964.01","995.64","964.01","","3.18%"
"10/24/2002","964.91","992.50","998.54","963.08","","-2.47%"
"10/23/2002","989.32","960.18","989.42","952.78","","2.64%"
"10/22/2002","963.87","954.28","977.88","951.61","","-1.58%"
"10/21/2002","979.35","945.86","982.43","937.55","","2.43%"
"10/18/2002","956.13","936.43","956.17","922.31","","1.17%"
"10/17/2002","945.06","951.14","957.16","937.19","","3.84%"
"10/16/2002","910.13","911.33","929.69","906.08","","-4.24%"
"10/15/2002","950.42","941.46","950.51","933.28","","5.51%"
"10/14/2002","900.75","878.75","903.15","876.21","","1.14%"
"10/11/2002","890.61","867.64","899.46","863.10","","4.83%"
"10/10/2002","849.57","809.46","852.68","801.26","","5.22%"
"10/09/2002","807.42","800.92","825.12","798.17","","-0.50%"
"10/08/2002","811.47","815.22","827.78","795.25","","0.85%"
"10/07/2002","804.64","813.06","826.79","798.88","","-1.32%"
"10/04/2002","815.40","842.95","844.37","809.94","","-2.14%"
"10/03/2002","833.21","846.74","859.53","832.67","","-1.92%"
"10/02/2002","849.56","865.13","882.77","844.61","","-2.42%"
"10/01/2002","870.63","841.29","870.70","824.22","","4.58%"
"09/30/2002","832.52","848.72","852.98","825.80","","-3.23%"
"09/27/2002","860.35","866.09","891.12","859.60","","-1.53%"
"09/26/2002","873.74","891.02","897.45","860.81","","-0.76%"
"09/25/2002","880.44","858.46","885.97","849.28","","4.37%"
"09/24/2002","843.61","830.21","861.09","830.21","","0.06%"
"09/23/2002","843.08","860.99","864.26","837.63","","-3.27%"
"09/20/2002","871.60","876.75","879.87","864.13","","0.65%"
"09/19/2002","865.93","875.77","889.24","865.87","","-3.27%"
"09/18/2002","895.20","884.03","906.05","876.08","","-0.26%"
"09/17/2002","897.53","927.29","932.91","896.45","","-1.21%"
"09/16/2002","908.48","919.10","925.90","900.89","","-1.66%"
"09/13/2002","923.83","909.63","928.65","907.24","","0.96%"
"09/12/2002","915.01","935.53","935.53","914.89","","-3.32%"
"09/11/2002","946.40","958.29","978.46","945.90","","-0.14%"
"09/10/2002","947.72","934.43","951.46","930.19","","1.66%"
"09/09/2002","932.23","913.68","939.24","901.13","","1.09%"
"09/06/2002","922.22","911.60","932.96","910.78","","4.45%"
"09/05/2002","882.92","900.90","901.50","882.85","","-4.13%"
"09/04/2002","920.98","904.82","925.26","895.41","","2.37%"
"09/03/2002","899.64","928.50","928.50","899.19","","-4.54%"
"08/30/2002","942.38","951.56","964.93","941.51","","-2.01%"
"08/29/2002","961.75","933.46","973.34","926.61","","1.79%"
"08/28/2002","944.83","965.57","968.66","941.60","","-3.04%"
"08/27/2002","974.47","1,021.50","1,021.66","971.68","","-4.16%"
"08/26/2002","1,016.79","1,017.62","1,020.86","990.82","","0.62%"
"08/23/2002","1,010.49","1,036.13","1,036.66","1,005.02","","-3.67%"
"08/22/2002","1,049.03","1,036.16","1,052.49","1,023.25","","1.31%"
"08/21/2002","1,035.47","1,020.95","1,038.86","1,006.55","","2.72%"
"08/20/2002","1,008.02","1,014.51","1,021.94","1,001.84","","-1.75%"
"08/19/2002","1,025.95","997.39","1,028.07","993.46","","3.00%"
"08/16/2002","996.06","968.05","1,004.22","961.56","","1.54%"
"08/15/2002","980.98","975.09","985.97","955.38","","1.25%"
"08/14/2002","968.84","912.35","968.97","904.47","","6.75%"
"08/13/2002","907.62","933.74","959.46","907.30","","-3.34%"
"08/12/2002","938.98","925.68","943.27","922.36","","0.18%"
"08/09/2002","937.33","932.33","953.38","921.25","","-1.05%"
"08/08/2002","947.24","915.89","948.72","898.57","","3.06%"
"08/07/2002","919.08","932.53","938.16","883.37","","1.90%"
"08/06/2002","901.91","875.53","923.74","875.53","","5.23%"
"08/05/2002","857.08","889.49","896.68","856.35","","-3.97%"
"08/02/2002","892.51","913.60","916.69","878.48","","-2.31%"
"08/01/2002","913.59","954.56","960.36","912.40","","-5.04%"
"07/31/2002","962.11","966.05","971.85","940.91","","-1.86%"
"07/30/2002","980.36","957.08","992.34","950.74","","1.05%"
"07/29/2002","970.13","935.05","970.13","931.43","","6.50%"
"07/26/2002","910.91","905.88","917.32","885.94","","1.84%"
"07/25/2002","894.45","934.93","940.93","878.01","","-6.00%"
"07/24/2002","951.58","875.48","951.83","869.17","","6.11%"
"07/23/2002","896.82","943.29","954.07","896.56","","-4.50%"
"07/22/2002","939.10","958.34","980.64","928.83","","-2.73%"
"07/19/2002","965.45","975.06","992.84","957.65","","-2.93%"
"07/18/2002","994.61","1,020.82","1,027.44","993.08","","-3.32%"
"07/17/2002","1,028.74","1,047.79","1,060.77","1,005.18","","1.72%"
"07/16/2002","1,011.30","1,012.51","1,045.52","1,002.17","","-0.95%"
"07/15/2002","1,021.02","990.98","1,021.35","955.29","","2.02%"
"07/12/2002","1,000.82","1,016.00","1,025.61","988.25","","0.28%"
"07/11/2002","998.03","954.01","999.43","945.85","","4.06%"
"07/10/2002","959.05","1,005.99","1,005.99","958.76","","-3.15%"
